lefty leverenz,Lefty Leverenz,Hortonworks
lei xu,Lei Xu,U-Of-Nebraska
lenni kuff,Lenni Kuff,Cloudera
lingyun yang,Lingyun Yang,Yahoo!
liyin,Liyin Tang,Facebook
liyin liang,Liyin Liang,Alibaba
luca telloli,Luca Telloli,Barcelona-Supercomputing
luke lu,Luke Lu,Ibm
mac yang,Mac Yang,Yahoo!
mahadev,Mahadev konar,Hortonworks
mahadev konar,Mahadev konar,Hortonworks
mahadevkonar,Mahadev Konar,Hortonworks
marcel kornacker,Marcel Kornacker,Cloudera
marcelo vanzin,Marcelo Vanzin,Cloudera
martin traverso,Martin Traverso,Proofpoint
matei alexandru zaharia,Matei Zaharia,Cloudera
matei zaharia,Matei Zaharia,Cloudera
matt foley,Matt Foley,Hortonworks
matthew j. foley,Matthew J. Foley,Hortonworks
matthew jacobs,Matthew Jacobs,Cloudera
mbautin,Mikhail Bautin,Facebook
michael bieniosek,Michael Bieniosek,Microsoft
michael katzenellenbogen,Michael Katzenellenbogen,Cloudera
michael stack,Michael Stack,Cloudera
michael tamm,Michael Tamm,Optivo
michel tourn,Michel Tourn,Google
michele catasta,Michele Catasta,Epfl
mike cafarella,Mike Cafarella,Cloudera
mike percy,Mike Percy,Cloudera
mikhail,Mikhail Bautin,Facebook
mikhail bautin,Mikhail Bautin,Facebook
milind bhandarkar,Milind Bhandarkar,Linkedin
mithun radhakrishnan,Mithun Radhakrishnan,Yahoo!
mlai,Mingjie Lai,Trend Micro
moaz reyad,Moaz Reyad,UC Trento
mohammad islam,Mohammad Islam,Yahoo!
mohammad kamrul islam,Mohammad Islam,Yahoo!
mpercy,Mike Percy,Cloudera
mubarak,Mubarak Seyed,Apple
mubarak seyed,Mubarak Seyed,Apple
namit,Namit Jain,Facebook
namit jain,Namit Jain,Facebook
nate cole,Nate Cole,Hortonworks
nicholas,Tsz-wo Sze,Hortonworks
nicolas liochon,Nicolas Liochon,Scaled Risk
nigel,Nigel Daley,Jive
nigel daley,Nigel Daley,Jive
ning li,Ning Li,Facebook
ning zhang,Ning Zhang,Facebook
njain,Namit Jain,Facebook
noah watkins,Noah Watkins,Ucsc
nspiegelberg,Nicolas Spiegelberg,Facebook
nzhang,Ning Zhang,Facebook
olga,Olga Natkovich,Yahoo!
olga natkovich,Olga Natkovich,Yahoo!
olgan,Olga Natkovich,Yahoo!
olston,Christopher Olston,Google
omalley,Owen O'Malley,Hortonworks
omer trajman,Omer Trajman,Cloudera
owen o malley,Owen O'Malley,Hortonworks
owen o'malley,Owen O'Malley,Hortonworks
owen omalley,Owen O'Malley,Hortonworks
Owen,Owen O'Malley,Hortonworks
patrick angeles,Patrick Angeles,Cloudera
patrick d. hunt,Patrick D. Hunt,Cloudera
patrick hunt,Patrick D. Hunt,Cloudera
patrick kling,Patrick Kling,U-Of-Waterloo
paul smith,Paul Smith,Aconex
paul smithelliott clark,Elliott Clark,Cloudera
pauly,Paul Yang,Facebook
pete wyckoff,Pete Wyckoff,Facebook
peter romianowski,Peter Romianowski,Optivo
philip zeyliger,Philip Zeyliger,Cloudera
phunt,Patrick D. Hunt,Cloudera
po cheung,Po Cheung,Ebay
prasad chakka,Prasad Chakka,Facebook
prasad mujumdar,Prasad Mujumdar,Cloudera
prasad mujumdar prasadm cloudera com,Prasad Mujumdar,Cloudera
prasadc,Prasad Chakka,Facebook
prasadm,Prasad Mujumdar,Cloudera
prashant gokhale,Prashant Gokhale,Cloudera
priyo mustafi,Priyo Mustafi,Ebay
raghotham murthy,Raghotham Murthy,Facebook
raghu angadi,Raghu Angadi,Twitter
raghu murthy,Raghotham Murthy,Facebook
raja aluri,Raja Aluri,Hortonworks
rajesh balamohan,Rajesh Balamohan,Intuit
ralph goers,Ralph Goers,Intuit
ramkrishna,Ramkrishna S Vasudevan,Huawei
ramkumar vadali,Ramkumar Vadali,Yahoo!
ramya,Ramya Sunil,Hortonworks
ramya sunil,Ramya Sunil,Hortonworks
rangadi plus many others,Raghu Angadi,Twitter
ranjit mathew,Ranjit Mathew,Yahoo!
ravi gummadi,Ravi  Gummadi,Yahoo!
ravi phulari,Ravi Phulari,Apple
ravi prakash,Ravi Prakash,Yahoo!
rawson,Ryan Rawson,DrawnToScale
rgoers,Ralph Goers,Intuit
richard ding,Richard Ding,IBM
rick cox,Rick Cox,Amazon
ricky saltzer,Ricky Saltzer,Cloudera
rjurney,Russell Jurney,Hortonworks
rkanter,Robert Kanter,Cloudera
rmurthy,Raghotham Murthy,Facebook
rob weltman,Rob Weltman,Yahoo!
robert chansler,Robert Chansler,Yahoo!
robert justice,Robert Justice,Cloudera
robert kanter,Robert Kanter,Cloudera
rodrigo schmidt,Rodrigo Schmidt,Facebook
rohini,Rohini Palaniswamy,Yahoo!
rohini palaniswamy,Rohini Palaniswamy,Yahoo!
roman shaposhnik,Roman Shaposhnik,Cloudera
rong-en fan,Rong-En Fan,Yahoo!
roshan naik,Roshan Naik,Hortonworks
